Indicator,Indicator Name,Company,Year,Value,Units,Remarks,Validated,,,,
EM-MM-000.B,"Total number of employees, percentage contractors",Cameco,2021,2095,number,total number of employees,,,,,
EM-MM-000.B,"Total number of employees, percentage contractors",Cameco,2022,2424,number,total number of employees,,,,,
EM-MM-000.B,"Total number of employees, percentage contractors",Cameco,2020,389,FTEs,total number of contractors,,,,,
EM-MM-000.B,"Total number of employees, percentage contractors",Cameco,2021,596,FTEs,total number of contractors,,,,,
EM-MM-000.B,"Total number of employees, percentage contractors",Cameco,2022,983,FTEs,total number of contractors,,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Albemarle,2023,728,thousand metric tons CO2e,gross global scope 1 emissions,,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Albemarle,2022,618,thousand metric tons CO2e,gross global scope 1 emissions,,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Albemarle,2021,605,thousand metric tons CO2e,gross global scope 1 emissions,,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Albemarle,2023,14,%,percentage of gross global scope 1 emissions under emissions-limiting regulations,,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Albemarle,2022,17,%,percentage of gross global scope 1 emissions under emissions-limiting regulations,,,,,
EM-MM-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",Albemarle,2021,13,%,percentage of gross global scope 1 emissions under emissions-limiting regulations,,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Albemarle,2023,728,kt CO2e,CO emissions,,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Albemarle,2022,618,kt CO2e,CO emissions,,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Albemarle,2021,605,kt CO2e,CO emissions,,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Albemarle,2023,273,kt CO2e,CO emissions,,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Albemarle,2022,292,kt CO2e,CO emissions,,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Albemarle,2021,294,kt CO2e,CO emissions,,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Albemarle,2023,388,kt CO2e,CO emissions,,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Albemarle,2022,334,kt CO2e,CO emissions,,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Albemarle,2021,348,kt CO2e,CO emissions,,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Albemarle,2023,2235,kt CO2e,CO emissions,,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Albemarle,2022,1995,kt CO2e,CO emissions,,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Albemarle,2021,1675,kt CO2e,CO emissions,,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Albemarle,2023,3236,kt CO2e,CO emissions,,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Albemarle,2022,2904,kt CO2e,CO emissions,,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Albemarle,2021,2574,kt CO2e,CO emissions,,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Albemarle,2023,725,metric tons,NOx emissions,,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Albemarle,2022,692,metric tons,NOx emissions,,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Albemarle,2021,753,metric tons,NOx emissions,,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Albemarle,2023,300,t,SOx emissions,,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Albemarle,2022,1361,t,SOx emissions,,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Albemarle,2021,1447,t,SOx emissions,,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Albemarle,2023,1124,metric tons (t),volatile organic compounds (VOCs) emissions,,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Albemarle,2022,917,metric tons (t),volatile organic compounds (VOCs) emissions,,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Albemarle,2021,866,metric tons (t),volatile organic compounds (VOCs) emissions,,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Albemarle,2023,16.2,million gigajoule (GJ),total energy consumed,,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Albemarle,2022,13.9,million gigajoule (GJ),total energy consumed,,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Albemarle,2021,13.8,million gigajoule (GJ),total energy consumed,,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Albemarle,2023,1.072,million GJ,total renewable energy consumed,,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Albemarle,2022,0.858,million GJ,total renewable energy consumed,,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Albemarle,2021,0.723,million GJ,total renewable energy consumed,,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Albemarle,2023,3.24,million gigajoule (GJ),total energy consumed from grid electricity,,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Albemarle,2022,2.92,million gigajoule (GJ),total energy consumed from grid electricity,,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Albemarle,2021,2.88,million gigajoule (GJ),total energy consumed from grid electricity,,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Albemarle,2023,20,%,percentage energy consumed from grid electricity,,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Albemarle,2022,21,%,percentage energy consumed from grid electricity,,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Albemarle,2021,21,%,percentage energy consumed from grid electricity,,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Albemarle,2023,16,%,percentage energy consumed from renewable electricity,,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Albemarle,2022,NA,NA,percentage energy consumed from renewable electricity,,,,,
EM-MM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",Albemarle,2021,NA,NA,percentage energy consumed from renewable electricity,,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Albemarle,2023,24.2,million cubic meters,total freshwater withdrawn,,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Albemarle,2022,22.6,million cubic meters,total freshwater withdrawn,,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Albemarle,2021,23,million cubic meters,total freshwater withdrawn,,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Albemarle,2023,13.6,million m3,total freshwater consumed,,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Albemarle,2022,11.4,million m3,total freshwater consumed,,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Albemarle,2021,11.5,million m3,total freshwater consumed,,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Albemarle,2023,24.2,million cubic meters,total water withdrawn in high or extremely high baseline water stress areas,,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Albemarle,2022,22.6,million cubic meters,total water withdrawn in high or extremely high baseline water stress areas,,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Albemarle,2021,23,million cubic meters,total water withdrawn in high or extremely high baseline water stress areas,,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Albemarle,2023,13.6,million m3,total water consumed in high or extremely high baseline water stress areas,,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Albemarle,2022,11.4,million m3,total water consumed in high or extremely high baseline water stress areas,,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Albemarle,2021,11.5,million m3,total water consumed in high or extremely high baseline water stress areas,,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Albemarle,2023,20,%,percentage of water withdrawn in high or extremely high baseline water stress areas against total freshwater withdrawn,,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Albemarle,2022,22.7,%,percentage of water withdrawn in high or extremely high baseline water stress areas against total freshwater withdrawn,,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Albemarle,2021,21.6,%,percentage of water withdrawn in high or extremely high baseline water stress areas against total freshwater withdrawn,,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Albemarle,2023,20,%,percentage of water consumed in high or extremely high baseline water stress areas against total freshwater consumed,,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Albemarle,2022,22.7,%,percentage of water consumed in high or extremely high baseline water stress areas against total freshwater consumed,,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Albemarle,2021,21.6,%,percentage of water consumed in high or extremely high baseline water stress areas against total freshwater consumed,,,,,
EM-MM-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",Albemarle,2023,0,incidents,"number of incidents of non-compliance associated with water quality permits, standards, and regulations",,,,,
EM-MM-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",Albemarle,2022,0,incidents,"number of incidents of non-compliance associated with water quality permits, standards, and regulations",,,,,
EM-MM-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",Albemarle,2021,0,incidents,"number of incidents of non-compliance associated with water quality permits, standards, and regulations",,,,,
EM-MM-150a.2,"Total weight of mineral processing waste, percentage recycled",Albemarle,2023,51,%,percentage of mineral waste recylced,,,,,
EM-MM-150a.2,"Total weight of mineral processing waste, percentage recycled",Albemarle,2022,,NA,percentage of mineral waste recylced,,,,,
EM-MM-150a.2,"Total weight of mineral processing waste, percentage recycled",Albemarle,2021,,NA,percentage of mineral waste recylced,,,,,
EM-MM-210b.2,Number and duration of non-technical delays,Albemarle,2021,35,days,duration of non-technical delays,,,,,
EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",Albemarle,2023,24,%,percentage of employees covered under collective bargaining agreements,,,,,
EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",Albemarle,2022,29,%,percentage of employees covered under collective bargaining agreements,,,,,
EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",Albemarle,2021,32,%,percentage of employees covered under collective bargaining agreements,,,,,
EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",Albemarle,2023,24,%,percentage of contractors covered under collective bargaining agreements,,,,,
EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",Albemarle,2022,29,%,percentage of contractors covered under collective bargaining agreements,,,,,
EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",Albemarle,2021,32,%,percentage of contractors covered under collective bargaining agreements,,,,,
EM-MM-310a.2,Number and duration of strikes and lockouts,Albemarle,2021,1,count,number of strikes and lockouts,,,,,
EM-MM-310a.2,Number and duration of strikes and lockouts,Albemarle,2022,0,count,number of strikes and lockouts,,,,,
EM-MM-310a.2,Number and duration of strikes and lockouts,Albemarle,2023,0,count,number of strikes and lockouts,,,,,
EM-MM-310a.2,Number and duration of strikes and lockouts,Albemarle,2021,35,days,duration of strikes and lockouts,,,,,
EM-MM-310a.2,Number and duration of strikes and lockouts,Albemarle,2022,0,days,duration of strikes and lockouts,,,,,
EM-MM-310a.2,Number and duration of strikes and lockouts,Albemarle,2023,0,days,duration of strikes and lockouts,,,,,
EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Albemarle,2023,1,count,number of MHSA incidents,,,,,
EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Albemarle,2022,4,count,number of MHSA incidents,,,,,
EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Albemarle,2021,4,count,number of MHSA incidents,,,,,
EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Albemarle,2021,0,count,number of fatalities,,,,,
EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Albemarle,2022,0,count,number of fatalities,,,,,
EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Albemarle,2023,0,count,number of fatalities,,,,,
EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Albemarle,2023,0,N/A,fatality rate,,,,,
EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Albemarle,2022,0,N/A,fatality rate,,,,,
EM-MM-320a.1,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Albemarle,2021,0,N/A,fatality rate,,,,,
EM-MM-000.B,"Total number of employees, percentage contractors",Albemarle,2023,10394,employees,total number of employees,,,,,
EM-MM-000.B,"Total number of employees, percentage contractors",Albemarle,2022,8687,employees,total number of employees,,,,,
EM-MM-000.B,"Total number of employees, percentage contractors",Albemarle,2021,6956,employees,total number of employees,,,,,
EM-MM-000.B,"Total number of employees, percentage contractors",Albemarle,2023,1752,contractors,total number of contractors,,,,,
EM-MM-000.B,"Total number of employees, percentage contractors",Albemarle,2022,1646,contractors,total number of contractors,,,,,
EM-MM-000.B,"Total number of employees, percentage contractors",Albemarle,2021,1289,contractors,total number of contractors,,,,,
EM-MM-000.B,"Total number of employees, percentage contractors",Albemarle,2023,17,%,percentage of employees who are contractors,,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Norilsk Nickels,2021,0,tons,CO emissions,N,No idea where this came from,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Norilsk Nickels,2022,0,tons,CO emissions,N,No idea where this came from,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Norilsk Nickels,2023,0,tons,CO emissions,N,No idea where this came from,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Norilsk Nickels,2021,1,tons,PM10 emissions,N,Solid as PM10,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Norilsk Nickels,2022,1.1,tons,PM10 emissions,N,Solid as PM11,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Norilsk Nickels,2023,0.9,tons,PM10 emissions,N,Solid as PM12,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Norilsk Nickels,2021,16,tons,volatile organic compounds (VOCs) emissions,Y,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Norilsk Nickels,2022,26,tons,volatile organic compounds (VOCs) emissions,Y,,,,
EM-MM-120a.1,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)",Norilsk Nickels,2023,18,tons,volatile organic compounds (VOCs) emissions,Y,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Norilsk Nickels,2021,11742,thous. m3,total freshwater withdrawn,Y,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Norilsk Nickels,2022,11062,thous. m3,total freshwater withdrawn,Y,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Norilsk Nickels,2023,11205,thous. m3,total freshwater withdrawn,Y,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Norilsk Nickels,2021,0,thous. m3,total freshwater consumed,N,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Norilsk Nickels,2022,0,thous. m3,total freshwater consumed,N,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Norilsk Nickels,2023,0,thous. m3,total freshwater consumed,N,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Norilsk Nickels,2021,11742,thous. m3,total freshwater consumed,manual,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Norilsk Nickels,2022,11062,thous. m3,total freshwater consumed,manual,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Norilsk Nickels,2023,11205,thous. m3,total freshwater consumed,manual,,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Norilsk Nickels,2021,11742,thous. m3,total water withdrawn in high or extremely high baseline water stress areas,N,did not specify,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Norilsk Nickels,2022,11062,thous. m3,total water withdrawn in high or extremely high baseline water stress areas,N,did not specify,,,
EM-MM-140a.1,"(1) Total fresh water withdrawn, (2) total fresh water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",Norilsk Nickels,2023,11205,thous. m3,total water withdrawn in high or extremely high baseline water stress areas,N,did not specify,,,
EM-MM-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",Norilsk Nickels,2021,0,pcs,"number of incidents of non-compliance associated with water quality permits, standards, and regulations",,,,,
EM-MM-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",Norilsk Nickels,2022,0,pcs,"number of incidents of non-compliance associated with water quality permits, standards, and regulations",,,,,
EM-MM-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",Norilsk Nickels,2023,0,pcs,"number of incidents of non-compliance associated with water quality permits, standards, and regulations",,,,,
EM-MM-150a.2,"Total weight of mineral processing waste, percentage recycled",Norilsk Nickels,2021,851,ton,total weight of mineral waste recylced,,,,,
EM-MM-150a.2,"Total weight of mineral processing waste, percentage recycled",Norilsk Nickels,2022,711,ton,total weight of mineral waste recylced,,,,,
EM-MM-150a.2,"Total weight of mineral processing waste, percentage recycled",Norilsk Nickels,2023,507,ton,total weight of mineral waste recylced,,,,,
EM-MM-150a.2,"Total weight of mineral processing waste, percentage recycled",Norilsk Nickels,2021,29,%,percentage of mineral waste recylced,,,,,
EM-MM-150a.2,"Total weight of mineral processing waste, percentage recycled",Norilsk Nickels,2022,29,%,percentage of mineral waste recylced,,,,,
EM-MM-150a.2,"Total weight of mineral processing waste, percentage recycled",Norilsk Nickels,2023,29,%,percentage of mineral waste recylced,,,,,
EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",Norilsk Nickels,2021,100,%,percentage of employees covered under collective bargaining agreements,Y,,,,
EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",Norilsk Nickels,2022,100,%,percentage of employees covered under collective bargaining agreements,Y,,,,
EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",Norilsk Nickels,2023,100,%,percentage of employees covered under collective bargaining agreements,Y,,,,
EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",Norilsk Nickels,2021,100,%,percentage of contractors covered under collective bargaining agreements,N,did not specify,,,
EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",Norilsk Nickels,2022,100,%,percentage of contractors covered under collective bargaining agreements,N,did not specify,,,
EM-MM-310a.1,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",Norilsk Nickels,2023,100,%,percentage of contractors covered under collective bargaining agreements,N,did not specify,,,
EM-MM-310a.2,Number and duration of strikes and lockouts,Norilsk Nickels,2021,0,pcs,number of strikes and lockouts,Y,,,,
EM-MM-310a.2,Number and duration of strikes and lockouts,Norilsk Nickels,2022,0,pcs,number of strikes and lockouts,Y,,,,
